2024-10-17 at 00:48 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
2024-10-17 at 00:48 | ERROR | Ошибка при поиске записи по фильтрам {'id': 805550691}: Multiple rows were found when one or none was required
2024-10-17 at 00:51 | INFO | Добавление записи Student с параметрами: {'id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 00:51 | INFO | Запись Student успешно добавлена.
2024-10-17 at 00:51 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 00:51 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 00:51 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
2024-10-17 at 00:51 | INFO | Запись найдена по фильтрам: {'id': 805550691}
2024-10-17 at 00:51 | INFO | Добавление записи Student с параметрами: {'id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 00:51 | INFO | Запись Student успешно добавлена.
2024-10-17 at 00:51 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
2024-10-17 at 00:51 | INFO | Запись найдена по фильтрам: {'tg_id': 805550691}
2024-10-17 at 00:51 | INFO | Поиск одной записи Student по фильтрам: {'id': 805550691}
2024-10-17 at 00:51 | ERROR | Ошибка при поиске записи по фильтрам {'id': 805550691}: Multiple rows were found when one or none was required
2024-10-17 at 00:52 | INFO | Добавление записи Student с параметрами: {'id': 0, 'group': 'ЭФБО-07-23'}
2024-10-17 at 00:52 | ERROR | Ошибка при добавлении записи: (sqlalchemy.dialects.postgresql.asyncpg.IntegrityError) <class 'asyncpg.exceptions.ForeignKeyViolationError'>: insert or update on table "students" violates foreign key constraint "students_id_fkey"
DETAIL:  Key (id)=(0) is not present in table "users".
[SQL: INSERT INTO students (id, "group") VALUES ($1::INTEGER, $2::VARCHAR) RETURNING students.created_at, students.updated_at]
[parameters: (0, 'ЭФБО-07-23')]
(Background on this error at: https://sqlalche.me/e/20/gkpj)
2024-10-17 at 00:53 | INFO | Добавление записи Student с параметрами: {'id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 00:53 | INFO | Запись Student успешно добавлена.
2024-10-17 at 00:53 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 805550691}
